stationCode," eng"," japan"
JC 01,Tokyo,東京
JC 02,Kanda,神田
JC 03,Ochanomizu,御茶ノ水
JC 04,Yotsuya,四ツ谷
JC 05,Shinjuku,新宿
JC 06,Nakano,中野
JC 07,Kōenji,高円寺
JC 08,Asagaya,阿佐ケ谷
JC 09,Ogikubo,荻窪
JC 10,Nishi-Ogikubo,西荻窪
JC 11,Kichijōji,吉祥寺
JC 12,Mitaka,三鷹
JC 13,Musashi-Sakai,武蔵境
JC 14,Higashi-Koganei,東小金井
JC 15,Musashi-Koganei,武蔵小金井
JC 16,Kokubunji,国分寺
JC 17,Nishi-Kokubunji,西国分寺
JC 18,Kunitachi,国立
JC 19,Tachikawa,立川
JC 20,Hino,日野
JC 21,Toyoda,豊田
JC 22,Hachiōji,八王子
JC 23,Nishi-Hachiōji,西八王子
JC 24,Takao,高尾
JC 25,Sagamiko,相模湖
JC 26,Fujino,藤野
JC 27,Uenohara,上野原
JC 28,Shiotsu,四方津
JC 29,Yanagawa,梁川
JC 30,Torisawa,鳥沢
JC 31,Saruhashi,猿橋
JC 32,Ōtsuki,大月
JC 51,Nishi-Tachikawa,西立川
JC 52,Higashi-Nakagami,東中神
JC 53,Nakagami,中神
JC 54,Akishima,昭島
JC 55,Haijima,拝島
JC 56,Ushihama,牛浜
JC 57,Fussa,福生
JC 58,Hamura,羽村
JC 59,Ozaku,小作
JC 60,Kabe,河辺
JC 61,Higashi-Ōme,東青梅
JC 62,Ōme,青梅
JC 63,Miyanohira,宮ノ平
JC 64,Hinatawada,日向和田
JC 65,Ishigamimae,石神前
JC 66,Futamatao,二俣尾
JC 67,Ikusabata,軍畑
JC 68,Sawai,沢井
JC 69,Mitake,御嶽
JC 70,Kawai,川井
JC 71,Kori,古里
JC 72,Hatonosu,鳩ノ巣
JC 73,Shiromaru,白丸
JC 74,Oku-Tama,奥多摩
JC 81,Kumagawa,熊川
JC 82,Higashi-Akiru,東秋留
JC 83,Akigawa,秋川
JC 84,Musashi-Hikida,武蔵引田
JC 85,Musashi-Masuko,武蔵増戸
JC 86,Musashi-Itsukaichi,武蔵五日市