stationCode,eng,jp
TS 30,Tōbu-Dōbutsu-Kōen,東武動物公園
TN 01,Sugito-Takanodai,杉戸高野台
TN 02,Satte,幸手
TN 03,Minami-Kurihashi,南栗橋
TN 04,Kurihashi,栗橋
TN 05,Shin-Koga,新古河
TN 06,Yagyū,柳生
TN 07,Itakura Tōyōdai-mae,板倉東洋大前
TN 08,Fujioka,藤岡
TN 09,Shizuwa,静和
TN 10,Shin-Ōhirashita,新大平下
TN 11,Tochigi,栃木
TN 12,Shin-Tochigi,新栃木
TN 13,Kassemba,合戦場
TN 14,Ienaka,家中
TN 15,Tōbu Kanasaki,東武金崎
TN 16,Niregi,楡木
TN 17,Momiyama,樅山
TN 18,Shin-Kanuma,新鹿沼
TN 19,Kita-Kanuma,北鹿沼
TN 20,Itaga,板荷
TN 21,Shimo-Goshiro,下小代
TN 22,Myōjin,明神
TN 23,Shimo-Imaichi,下今市
TN 24,Kami-Imaichi,上今市
TN 25,Tōbu Nikkō,東武日光