stationCode,eng,jp
I 01,Meguro,目黒
I 02,Shirokanedai,白金台
I 03,Shirokane-takanawa,白金高輪
I 04,Mita,三田
I 05,Shibakoen,芝公園
I 06,Onarimon,御成門
I 07,Uchisaiwaicho,内幸町
I 08,Hibiya,日比谷
I 09,Ōtemachi,大手町
I 10,Jimbocho,神保町
I 11,Suidobashi,水道橋
I 12,Kasuga,春日
I 13,Hakusan,白山
I 14,Sengoku,千石
I 15,Sugamo,巣鴨
I 16,Nishi-sugamo,西巣鴨
I 17,Shin-itabashi,新板橋
I 18,Itabashikuyakushomae,板橋区役所前
I 19,Itabashihoncho,板橋本町
I 20,Motohasunuma,本蓮沼
I 21,Shimura-sakaue,志村坂上
I 22,Shimura-sanchome,志村三丁目
I 23,Hasune,蓮根
I 24,Nishidai,西台
I 25,Takashimadaira,高島平
I 26,Shin-takashimadaira,新高島平
I 27,Nishi-takashimadaira,西高島平